r_A,g_r,g_r_error,n_r
0.51375000,0.00000000,0.00043156,0.00000000
0.54125000,0.00000000,0.00038882,0.00000000
0.56875000,0.00000000,0.00035213,0.00000000
0.59625000,0.00000000,0.00032039,0.00000000
0.62375000,0.00000000,0.00029276,0.00000000
0.65125000,0.00000000,0.00026856,0.00000000
0.67875000,0.00000000,0.00024724,0.00000000
0.70625000,0.00000000,0.00022836,0.00000000
0.73375000,0.00000000,0.00021156,0.00000000
0.76125000,0.00000000,0.00019656,0.00000000
0.78875000,0.00000000,0.00018309,0.00000000
0.81625000,0.00000000,0.00017096,0.00000000
0.84375000,0.00000000,0.00016000,0.00000000
0.87125000,0.00000000,0.00015006,0.00000000
0.89875000,0.00000000,0.00014101,0.00000000
0.92625000,0.00000000,0.00013276,0.00000000
0.95375000,0.00000000,0.00012522,0.00000000
0.98125000,0.00000000,0.00011830,0.00000000
1.00875000,0.00000000,0.00011194,0.00000000
1.03625000,0.00000000,0.00010607,0.00000000
1.06375000,0.00000000,0.00010066,0.00000000
1.09125000,0.00000000,0.00009565,0.00000000
1.11875000,0.00000000,0.00009101,0.00000000
1.14625000,0.00000000,0.00008669,0.00000000
1.17375000,0.00000000,0.00008268,0.00000000
1.20125000,0.00000000,0.00007894,0.00000000
1.22875000,0.00000000,0.00007544,0.00000000
1.25625000,0.00086610,0.00025002,0.00005070
1.28375000,0.02032012,0.00118509,0.00129293
1.31125000,0.16873217,0.00334336,0.01205466
1.33875000,0.68549042,0.00660041,0.05762828
1.36625000,1.91398589,0.01080710,0.19015769
1.39375000,3.17776216,0.01365041,0.41914126
1.42125000,4.07803924,0.01516440,0.72470761
1.44875000,5.09907537,0.01663498,1.12170852
1.47625000,5.73202355,0.01730868,1.58509245
1.50375000,5.30446734,0.01634614,2.03003735
1.53125000,4.07324420,0.01406676,2.38431669
1.55875000,2.66981236,0.01118752,2.62494507
1.58625000,1.57702080,0.00844923,2.77214035
1.61375000,0.89074183,0.00624180,2.85818770
1.64125000,0.50518370,0.00462189,2.90866685
1.66875000,0.31405484,0.00358411,2.94110837
1.69625000,0.19979910,0.00281240,2.96243324
1.72375000,0.14302654,0.00234155,2.97819767
1.75125000,0.11220039,0.00204136,2.99096218
1.77875000,0.08244145,0.00172277,3.00063801
1.80625000,0.06821954,0.00154329,3.00889417
1.83375000,0.06073513,0.00143433,3.01647005
1.86125000,0.06257045,0.00143433,3.02451072
1.88875000,0.08620943,0.00165910,3.03591891
1.91625000,0.10459795,0.00180127,3.05016648
1.94375000,0.06807428,0.00143259,3.05970711
1.97125000,0.01767559,0.00071981,3.06225494
1.99875000,0.00319331,0.00030174,3.06272816
2.02625000,0.00097101,0.00016413,3.06287605
2.05375000,0.00048609,0.00011457,3.06295210
2.08125000,0.00084148,0.00014875,3.06308731
2.10875000,0.00133197,0.00018471,3.06330702
2.13625000,0.00728817,0.00042651,3.06454080
2.16375000,0.03308756,0.00089721,3.07028715
2.19125000,0.17884213,0.00205974,3.10214136
2.21875000,0.45539937,0.00324607,3.18530287
2.24625000,0.51335078,0.00340423,3.28138521
2.27375000,0.61757984,0.00368870,3.39982338
2.30125000,0.84860069,0.00427226,3.56652667
2.32875000,1.16404177,0.00494460,3.80069463
2.35625000,1.51142944,0.00556856,4.11196931
2.38375000,1.83767814,0.00606938,4.49931973
2.41125000,2.08289005,0.00638794,4.94854482
2.43875000,2.24792069,0.00656135,5.44448435
2.46625000,2.31215339,0.00658023,5.96616414
2.49375000,2.26847311,0.00644590,6.48946643
2.52125000,2.15331614,0.00621166,6.99721978
2.54875000,1.98635961,0.00590163,7.47587801
2.57625000,1.79480274,0.00554997,7.91775960
2.60375000,1.59484106,0.00517642,8.31883789
2.63125000,1.41667199,0.00482772,8.68267476
2.65875000,1.27412828,0.00453105,9.01677850
2.68625000,1.13726844,0.00423697,9.32119558
2.71375000,1.03916742,0.00400906,9.60507791
2.74125000,0.95124194,0.00379723,9.87023391
2.76875000,0.89046475,0.00363743,10.12345356
2.79625000,0.85071859,0.00352036,10.37020011
2.82375000,0.81992976,0.00342241,10.61271718
2.85125000,0.81007439,0.00336897,10.85700886
2.87875000,0.80312435,0.00332244,11.10389907
2.90625000,0.79637198,0.00327714,11.35341316
2.93375000,0.79409770,0.00324178,11.60694548
2.96125000,0.79495257,0.00321341,11.86553120
2.98875000,0.79390746,0.00318174,12.12859569
3.01625000,0.79356941,0.00315206,12.39640938
3.04375000,0.79083936,0.00311821,12.66819058
3.07125000,0.79212475,0.00309280,12.94535475
3.09875000,0.79150825,0.00306416,13.22728502
3.12625000,0.79796992,0.00304958,13.51658413
3.15375000,0.80050232,0.00302778,13.81192959
3.18125000,0.80241184,0.00300518,14.11316506
3.20875000,0.80988022,0.00299326,14.42248344
3.23625000,0.80761600,0.00296367,14.73624679
3.26375000,0.81410255,0.00295048,15.05792827
3.29125000,0.82446654,0.00294439,15.38921799
3.31875000,0.83799623,0.00294386,15.73159478
3.34625000,0.84425784,0.00293055,16.08226998
3.37375000,0.85963159,0.00293301,16.44522377
3.40125000,0.87246009,0.00293092,16.81962378
3.42875000,0.89371081,0.00294261,17.20936993
3.45625000,0.91641820,0.00295605,17.61545514
3.48375000,0.93575664,0.00296350,18.03673438
3.51125000,0.96786787,0.00299031,18.47937652
3.53875000,1.01186968,0.00303377,18.94941945
3.56625000,1.05603439,0.00307537,19.44763217
3.59375000,1.11236891,0.00313218,19.98054692
3.62125000,1.16392363,0.00317961,20.54672712
3.64875000,1.20350262,0.00320885,21.14108555
3.67625000,1.24338970,0.00323719,21.76443348
3.70375000,1.27008168,0.00324746,22.41072455
3.73125000,1.26290779,0.00321441,23.06294365
3.75875000,1.25994302,0.00318715,23.72325835
3.78625000,1.24351882,0.00314331,24.38453640
3.81375000,1.20500668,0.00307194,25.03467668
3.84125000,1.15924461,0.00299147,25.66917929
3.86875000,1.10878980,0.00290485,26.28478654
3.89625000,1.05702780,0.00281622,26.88002806
3.92375000,1.01605804,0.00274175,27.46030371
3.95125000,0.97550235,0.00266778,28.02525436
3.97875000,0.93570791,0.00259474,28.57472789
4.00625000,0.91184214,0.00254385,29.11761425
4.03375000,0.89053310,0.00249681,29.65511763
4.06125000,0.87626245,0.00245996,30.19124358
4.08875000,0.87205735,0.00243754,30.73204688
4.11625000,0.87291453,0.00242245,31.28068804
4.14375000,0.87312825,0.00240666,31.83682058
4.17125000,0.88382648,0.00240540,32.40726406
4.19875000,0.89199955,0.00240067,32.99059880
4.22625000,0.90429875,0.00240143,33.58974868
4.25375000,0.91700584,0.00240261,34.20525030
4.28125000,0.92547237,0.00239818,34.83449246
4.30875000,0.93723177,0.00239796,35.47994271
4.33625000,0.94839522,0.00239690,36.14144470
4.36375000,0.95727762,0.00239292,36.81763791
4.39125000,0.95933665,0.00238050,37.50385343
4.41875000,0.97101847,0.00238004,38.20715167
4.44625000,0.97722237,0.00237286,38.92378059
4.47375000,0.99164072,0.00237561,39.66000625
4.50125000,0.99533576,0.00236549,40.40808799
4.52875000,1.00588807,0.00236356,41.17336652
4.55625000,1.01861589,0.00236411,41.95776856
4.58375000,1.02774115,0.00236043,42.75878008
4.61125000,1.04139800,0.00236189,43.58020383
4.63875000,1.05510438,0.00236329,44.42239471
4.66625000,1.06277176,0.00235788,45.28079367
4.69375000,1.07363600,0.00235602,46.15821897
4.72125000,1.07931097,0.00234848,47.05064815
4.74875000,1.08466669,0.00234066,47.95798405
4.77625000,1.08731135,0.00233002,48.87809711
4.80375000,1.08923221,0.00231873,49.81048033
4.83125000,1.09166852,0.00230811,50.75567875
4.85875000,1.08446047,0.00228745,51.70535594
4.88625000,1.08352798,0.00227360,52.66498783
4.91375000,1.07739213,0.00225447,53.62995623
4.94125000,1.06778919,0.00223191,54.59705838
4.96875000,1.05413842,0.00220532,55.56245352
4.99625000,1.04522637,0.00218389,56.53031199
5.02375000,1.03625168,0.00216259,57.50045210
5.05125000,1.02435197,0.00213843,58.46997955
5.07875000,1.01610624,0.00211828,59.44220271
5.10625000,1.00336070,0.00209361,60.41265549
5.13375000,0.99076006,0.00206928,61.38127028
5.16125000,0.98384775,0.00205106,62.35345964
5.18875000,0.97279944,0.00202870,63.32500254
5.21625000,0.96732486,0.00201232,64.30134532
5.24375000,0.96278123,0.00199706,65.28337530
5.27125000,0.96085799,0.00198466,66.27375017
5.29875000,0.95366498,0.00196696,67.26699398
5.32625000,0.95259156,0.00195570,68.26944463
5.35375000,0.95023405,0.00194324,69.27976693
5.38125000,0.95307487,0.00193620,70.30354668
5.40875000,0.95934818,0.00193269,71.34462463
5.43625000,0.95399123,0.00191753,72.39044331
5.46375000,0.95898381,0.00191287,73.45239826
5.49125000,0.96239713,0.00190667,74.52888808
5.51875000,0.96856346,0.00190324,75.62315356
5.54625000,0.97316078,0.00189829,76.73359755
5.57375000,0.97608420,0.00189176,77.85844967
5.60125000,0.98113984,0.00188734,79.00031267
5.62875000,0.98435701,0.00188120,80.15719646
5.65625000,0.98878269,0.00187625,81.33066438
5.68375000,0.99467406,0.00187273,82.52263048
5.71125000,1.00146098,0.00187006,83.73437077
5.73875000,1.00118975,0.00186085,84.95747701
5.76625000,1.00473207,0.00185525,86.19670261
5.79375000,1.00937698,0.00185070,87.45356020
5.82125000,1.01049120,0.00184298,88.72377806
5.84875000,1.01237233,0.00183602,90.00841249
5.87625000,1.01565847,0.00183039,91.30936486
5.90375000,1.01945398,0.00182526,92.62742952
5.93125000,1.01832749,0.00181580,93.95633197
5.95875000,1.01991471,0.00180883,95.29967635
5.98625000,1.02415388,0.00180425,96.66108369
