energy_kev,sp3_target,frame_index,step,time_ps,n_atoms,density_atoms_A3,sp_percent,sp2_percent,sp3_percent,defect_percent,mean_coord,elastic_modulus_rel,mean_pe_eV,total_pe_eV,mean_ke_eV,total_ke_eV,max_ke_atom_eV,threshold_cumulative_A,n_displaced_cumulative,max_dr_cumulative_A,mean_dr_cumulative_A,n_displaced_incremental,max_dr_incremental_A
10,40,0,0,0.000000,473344,0.135644,3.755620,57.583069,38.661312,0.000000,3.349057,0.285505,-6.588287,-3118526.306880,0.044107,20877.729671,1886.700000,0.000000,0,0.000000,0.000000,0,0.000000
10,40,1,27,0.027000,473344,0.135644,3.758789,57.569336,38.671664,0.000211,3.349133,0.285560,-6.587973,-3118377.341560,0.043778,20722.145355,1714.410000,0.031049,1,1.341567,1.341567,1,1.341567
10,40,2,54,0.054000,473344,0.135644,3.756465,57.568914,38.674410,0.000211,3.349184,0.285596,-6.588270,-3118518.256450,0.044065,20857.928738,1780.140000,0.060036,2,2.688322,1.448527,2,1.350804
10,40,3,81,0.081000,473344,0.135644,3.759211,57.568491,38.672086,0.000211,3.349125,0.285554,-6.588375,-3118567.944840,0.044163,20904.237965,1788.030000,0.091728,2,4.037366,2.230573,3,1.350349
10,40,4,108,0.108000,473344,0.135644,3.761112,57.551590,38.687086,0.000211,3.349256,0.285648,-6.588494,-3118624.032492,0.044280,20959.849553,1810.860000,0.169203,2,5.388461,3.009611,4,1.351854
10,40,5,270,0.270000,473344,0.135644,3.757310,57.545464,38.696804,0.000423,3.349403,0.285755,-6.588392,-3118575.742354,0.044132,20889.391150,1766.740000,0.235283,7,13.477419,2.421173,7,8.094426
10,40,6,351,0.351000,473344,0.135644,3.754986,57.537225,38.707156,0.000634,3.349526,0.285844,-6.588274,-3118520.031944,0.043991,20822.796488,1740.300000,0.284059,7,17.510443,3.152896,9,4.047149
10,40,7,432,0.432000,473344,0.135644,3.759634,57.510183,38.729550,0.000634,3.349695,0.285966,-6.588170,-3118470.774660,0.043882,20771.165760,836.540000,0.476880,7,21.052384,4.056226,11,3.646504
10,40,8,459,0.459000,473344,0.135644,3.758577,57.511873,38.728705,0.000845,3.349708,0.285975,-6.588200,-3118484.903541,0.043906,20782.630034,811.211000,0.476880,9,21.871453,3.593943,9,1.347191
10,40,9,486,0.486000,473344,0.135644,3.760267,57.511028,38.727226,0.001479,3.349691,0.285963,-6.588095,-3118435.163314,0.043795,20730.049990,766.657000,0.454940,10,22.736241,3.607731,10,1.340722
10,40,10,513,0.513000,473344,0.135644,3.760690,57.512507,38.725536,0.001268,3.349665,0.285944,-6.588124,-3118448.780863,0.043816,20740.143258,765.540000,0.476880,11,23.643778,3.624223,9,1.349411
10,40,11,540,0.540000,473344,0.135644,3.760901,57.518000,38.720254,0.000845,3.349602,0.285899,-6.588118,-3118446.337696,0.043798,20731.738068,771.086000,0.523984,11,24.621074,3.938198,14,1.351238
10,40,12,567,0.567000,473344,0.135644,3.761112,57.513986,38.723846,0.001056,3.349640,0.285926,-6.588166,-3118468.943865,0.043843,20752.884184,772.448000,0.523984,13,25.657326,3.695161,40,1.349087
10,40,13,594,0.594000,473344,0.135644,3.762803,57.518211,38.717508,0.001479,3.349568,0.285874,-6.588150,-3118461.420567,0.043827,20745.409816,767.646000,0.575741,13,26.700960,3.997460,47,1.350434
10,40,14,621,0.621000,473344,0.135644,3.763436,57.527295,38.707578,0.001690,3.349458,0.285795,-6.587936,-3118360.200946,0.043584,20630.333571,705.206000,0.728618,11,27.774024,4.969661,52,1.333526
10,40,15,729,0.729000,473344,0.135644,3.761535,57.524971,38.711592,0.001901,3.349496,0.285822,-6.587997,-3118388.725286,0.043615,20644.744328,631.060000,0.839196,14,32.486611,5.304107,19,5.352700
10,40,16,756,0.756000,473344,0.135644,3.763014,57.536802,38.697438,0.002746,3.349357,0.285721,-6.587965,-3118373.477693,0.043575,20626.043963,583.592000,0.922089,14,33.747336,5.649072,21,1.344734
10,40,17,810,0.810000,473344,0.135644,3.766817,57.533633,38.697015,0.002535,3.349336,0.285706,-6.587544,-3118174.225582,0.043137,20418.537018,544.253000,0.966557,15,36.325163,5.977834,39,2.679923
