theta_deg,adf
0.50000000,0.00000000
1.50000000,0.00000000
2.50000000,0.00000000
3.50000000,0.00000000
4.50000000,0.00000000
5.50000000,0.00000000
6.50000000,0.00000000
7.50000000,0.00000000
8.50000000,0.00000000
9.50000000,0.00000000
10.50000000,0.00000000
11.50000000,0.00000000
12.50000000,0.00000000
13.50000000,0.00000000
14.50000000,0.00000000
15.50000000,0.00000000
16.50000000,0.00000000
17.50000000,0.00000000
18.50000000,0.00000000
19.50000000,0.00000000
20.50000000,0.00000000
21.50000000,0.00000000
22.50000000,0.00000000
23.50000000,0.00000000
24.50000000,0.00000000
25.50000000,0.00000000
26.50000000,0.00000000
27.50000000,0.00000000
28.50000000,0.00000000
29.50000000,0.00000000
30.50000000,0.00000000
31.50000000,0.00000000
32.50000000,0.00000000
33.50000000,0.00000000
34.50000000,0.00000000
35.50000000,0.00000000
36.50000000,0.00000000
37.50000000,0.00000000
38.50000000,0.00000000
39.50000000,0.00000000
40.50000000,0.00000063
41.50000000,0.00001206
42.50000000,0.00003872
43.50000000,0.00005332
44.50000000,0.00008252
45.50000000,0.00014092
46.50000000,0.00019043
47.50000000,0.00022344
48.50000000,0.00022979
49.50000000,0.00020948
50.50000000,0.00023614
51.50000000,0.00020948
52.50000000,0.00019868
53.50000000,0.00018853
54.50000000,0.00017266
55.50000000,0.00015933
56.50000000,0.00015742
57.50000000,0.00010283
58.50000000,0.00011109
59.50000000,0.00010410
60.50000000,0.00010982
61.50000000,0.00011236
62.50000000,0.00008062
63.50000000,0.00007554
64.50000000,0.00006094
65.50000000,0.00007046
66.50000000,0.00009014
67.50000000,0.00012378
68.50000000,0.00013457
69.50000000,0.00010220
70.50000000,0.00007300
71.50000000,0.00007046
72.50000000,0.00008062
73.50000000,0.00012315
74.50000000,0.00014917
75.50000000,0.00022535
76.50000000,0.00032754
77.50000000,0.00049893
78.50000000,0.00070079
79.50000000,0.00084996
80.50000000,0.00097247
81.50000000,0.00107912
82.50000000,0.00103722
83.50000000,0.00105182
84.50000000,0.00105373
85.50000000,0.00110133
86.50000000,0.00116481
87.50000000,0.00132351
88.50000000,0.00145681
89.50000000,0.00166438
90.50000000,0.00184529
91.50000000,0.00217474
92.50000000,0.00256830
93.50000000,0.00313896
94.50000000,0.00384039
95.50000000,0.00478684
96.50000000,0.00609130
97.50000000,0.00749542
98.50000000,0.00933246
99.50000000,0.01161003
100.50000000,0.01420943
101.50000000,0.01706401
102.50000000,0.02045942
103.50000000,0.02376977
104.50000000,0.02721470
105.50000000,0.03037016
106.50000000,0.03351420
107.50000000,0.03611487
108.50000000,0.03815885
109.50000000,0.03953885
110.50000000,0.04092710
111.50000000,0.04085918
112.50000000,0.04102359
113.50000000,0.04067192
114.50000000,0.03990004
115.50000000,0.03879108
116.50000000,0.03771831
117.50000000,0.03602093
118.50000000,0.03383286
119.50000000,0.03156925
120.50000000,0.02927518
121.50000000,0.02660912
122.50000000,0.02399956
123.50000000,0.02135954
124.50000000,0.01865793
125.50000000,0.01621722
126.50000000,0.01427608
127.50000000,0.01232859
128.50000000,0.01064581
129.50000000,0.00906458
130.50000000,0.00795754
131.50000000,0.00699776
132.50000000,0.00591229
133.50000000,0.00527815
134.50000000,0.00468400
135.50000000,0.00410890
136.50000000,0.00373882
137.50000000,0.00332812
138.50000000,0.00304882
139.50000000,0.00270351
140.50000000,0.00253275
141.50000000,0.00232962
142.50000000,0.00214300
143.50000000,0.00199573
144.50000000,0.00187386
145.50000000,0.00181609
146.50000000,0.00166374
147.50000000,0.00158884
148.50000000,0.00159265
149.50000000,0.00141618
150.50000000,0.00136984
151.50000000,0.00131144
152.50000000,0.00121242
153.50000000,0.00117370
154.50000000,0.00107023
155.50000000,0.00098707
156.50000000,0.00094772
157.50000000,0.00087028
158.50000000,0.00087218
159.50000000,0.00081696
160.50000000,0.00074776
161.50000000,0.00069571
162.50000000,0.00066270
163.50000000,0.00057130
164.50000000,0.00053321
165.50000000,0.00048878
166.50000000,0.00047418
167.50000000,0.00038785
168.50000000,0.00036309
169.50000000,0.00034341
170.50000000,0.00030914
171.50000000,0.00025581
172.50000000,0.00024185
173.50000000,0.00019488
174.50000000,0.00017266
175.50000000,0.00014600
176.50000000,0.00010410
177.50000000,0.00007046
178.50000000,0.00003999
179.50000000,0.00002285
