k_invA,S_k
0.20000000,0.59666912
0.23967936,0.59550884
0.27935872,0.59425418
0.31903808,0.59295949
0.35871743,0.59168544
0.39839679,0.59049813
0.43807615,0.58946824
0.47775551,0.58867008
0.51743487,0.58818047
0.55711423,0.58807766
0.59679359,0.58844007
0.63647295,0.58934497
0.67615230,0.59086701
0.71583166,0.59307674
0.75551102,0.59603888
0.79519038,0.59981062
0.83486974,0.60443980
0.87454910,0.60996301
0.91422846,0.61640374
0.95390782,0.62377058
0.99358717,0.63205549
1.03326653,0.64123232
1.07294589,0.65125561
1.11262525,0.66205976
1.15230461,0.67355865
1.19198397,0.68564587
1.23166333,0.69819551
1.27134269,0.71106377
1.31102204,0.72409116
1.35070140,0.73710553
1.39038076,0.74992587
1.43006012,0.76236668
1.46973948,0.77424302
1.50941884,0.78537598
1.54909820,0.79559845
1.58877756,0.80476099
1.62845691,0.81273763
1.66813627,0.81943125
1.70781563,0.82477843
1.74749499,0.82875341
1.78717435,0.83137107
1.82685371,0.83268850
1.86653307,0.83280529
1.90621242,0.83186216
1.94589178,0.83003801
1.98557114,0.82754534
2.02525050,0.82462413
2.06492986,0.82153432
2.10460922,0.81854708
2.14428858,0.81593514
2.18396794,0.81396256
2.22364729,0.81287427
2.26332665,0.81288575
2.30300601,0.81417343
2.34268537,0.81686603
2.38236473,0.82103735
2.42204409,0.82670089
2.46172345,0.83380656
2.50140281,0.84223970
2.54108216,0.85182255
2.58076152,0.86231835
2.62044088,0.87343773
2.66012024,0.88484756
2.69979960,0.89618172
2.73947896,0.90705358
2.77915832,0.91706971
2.81883768,0.92584430
2.85851703,0.93301369
2.89819639,0.93825052
2.93787575,0.94127684
2.97755511,0.94187562
3.01723447,0.93990025
3.05691383,0.93528144
3.09659319,0.92803132
3.13627255,0.91824446
3.17595190,0.90609570
3.21563126,0.89183486
3.25531062,0.87577848
3.29498998,0.85829893
3.33466934,0.83981120
3.37434870,0.82075806
3.41402806,0.80159410
3.45370741,0.78276934
3.49338677,0.76471308
3.53306613,0.74781878
3.57274549,0.73243054
3.61242485,0.71883180
3.65210421,0.70723690
3.69178357,0.69778564
3.73146293,0.69054139
3.77114228,0.68549266
3.81082164,0.68255815
3.85050100,0.68159510
3.89018036,0.68241055
3.92985972,0.68477504
3.96953908,0.68843801
4.00921844,0.69314448
4.04889780,0.69865184
4.08857715,0.70474630
4.12825651,0.71125801
4.16793587,0.71807409
4.20761523,0.72514900
4.24729459,0.73251162
4.28697395,0.74026854
4.32665331,0.74860340
4.36633267,0.75777211
4.40601202,0.76809406
4.44569138,0.77993957
4.48537074,0.79371397
4.52505010,0.80983905
4.56472946,0.82873243
4.60440882,0.85078580
4.64408818,0.87634292
4.68376754,0.90567833
4.72344689,0.93897761
4.76312625,0.97632028
4.80280561,1.01766591
4.84248497,1.06284428
4.88216433,1.11155011
4.92184369,1.16334264
4.96152305,1.21765032
5.00120240,1.27378046
5.04088176,1.33093375
5.08056112,1.38822307
5.12024048,1.44469612
5.15991984,1.49936091
5.19959920,1.55121351
5.23927856,1.59926672
5.27895792,1.64257896
5.31863727,1.68028214
5.35831663,1.71160759
5.39799599,1.73590903
5.43767535,1.75268190
5.47735471,1.76157821
5.51703407,1.76241652
5.55671343,1.75518664
5.59639279,1.74004899
5.63607214,1.71732861
5.67575150,1.68750418
5.71543086,1.65119248
5.75511022,1.60912882
5.79478958,1.56214437
5.83446894,1.51114103
5.87414830,1.45706497
5.91382766,1.40087969
5.95350701,1.34353949
5.99318637,1.28596443
6.03286573,1.22901747
6.07254509,1.17348446
6.11222445,1.12005779
6.15190381,1.06932383
6.19158317,1.02175464
6.23126253,0.97770396
6.27094188,0.93740740
6.31062124,0.90098657
6.35030060,0.86845684
6.38997996,0.83973820
6.42965932,0.81466856
6.46933868,0.79301891
6.50901804,0.77450960
6.54869739,0.75882704
6.58837675,0.74564009
6.62805611,0.73461558
6.66773547,0.72543238
6.70741483,0.71779346
6.74709419,0.71143574
6.78677355,0.70613739
6.82645291,0.70172251
6.86613226,0.69806314
6.90581162,0.69507887
6.94549098,0.69273404
6.98517034,0.69103311
7.02484970,0.69001437
7.06452906,0.68974252
7.10420842,0.69030052
7.14388778,0.69178118
7.18356713,0.69427897
7.22324649,0.69788228
7.26292585,0.70266670
7.30260521,0.70868934
7.34228457,0.71598461
7.38196393,0.72456136
7.42164329,0.73440164
7.46132265,0.74546074
7.50100200,0.75766875
7.54068136,0.77093309
7.58036072,0.78514212
7.62004008,0.80016928
7.65971944,0.81587776
7.69939880,0.83212518
7.73907816,0.84876818
7.77875752,0.86566661
7.81843687,0.88268716
7.85811623,0.89970625
7.89779559,0.91661205
7.93747495,0.93330566
7.97715431,0.94970140
8.01683367,0.96572629
8.05651303,0.98131881
8.09619238,0.99642709
8.13587174,1.01100671
8.17555110,1.02501826
8.21523046,1.03842493
8.25490982,1.05119016
8.29458918,1.06327578
8.33426854,1.07464042
8.37394790,1.08523871
8.41362725,1.09502098
8.45330661,1.10393375
8.49298597,1.11192080
8.53266533,1.11892500
8.57234469,1.12489051
8.61202405,1.12976553
8.65170341,1.13350520
8.69138277,1.13607472
8.73106212,1.13745225
8.77074148,1.13763174
8.81042084,1.13662521
8.85010020,1.13446456
8.88977956,1.13120278
8.92945892,1.12691429
8.96913828,1.12169464
9.00881764,1.11565931
9.04849699,1.10894179
9.08817635,1.10169096
9.12785571,1.09406779
9.16753507,1.08624163
9.20721443,1.07838605
9.24689379,1.07067455
9.28657315,1.06327616
9.32625251,1.05635115
9.36593186,1.05004706
9.40561122,1.04449501
9.44529058,1.03980664
9.48496994,1.03607153
9.52464930,1.03335536
9.56432866,1.03169872
9.60400802,1.03111663
9.64368737,1.03159880
9.68336673,1.03311042
9.72304609,1.03559363
9.76272545,1.03896948
9.80240481,1.04314020
9.84208417,1.04799193
9.88176353,1.05339753
9.92144289,1.05921961
9.96112224,1.06531350
10.00080160,1.07153025
10.04048096,1.07771947
10.08016032,1.08373202
10.11983968,1.08942249
10.15951904,1.09465146
10.19919840,1.09928753
10.23887776,1.10320909
10.27855711,1.10630591
10.31823647,1.10848045
10.35791583,1.10964904
10.39759519,1.10974281
10.43727455,1.10870850
10.47695391,1.10650908
10.51663327,1.10312423
10.55631263,1.09855064
10.59599198,1.09280216
10.63567134,1.08590972
10.67535070,1.07792111
10.71503006,1.06890045
10.75470942,1.05892750
10.79438878,1.04809662
10.83406814,1.03651554
10.87374749,1.02430375
10.91342685,1.01159071
10.95310621,0.99851370
10.99278557,0.98521557
11.03246493,0.97184218
11.07214429,0.95853973
11.11182365,0.94545211
11.15150301,0.93271815
11.19118236,0.92046896
11.23086172,0.90882551
11.27054108,0.89789637
11.31022044,0.88777583
11.34989980,0.87854232
11.38957916,0.87025736
11.42925852,0.86296496
11.46893788,0.85669144
11.50861723,0.85144592
11.54829659,0.84722113
11.58797595,0.84399477
11.62765531,0.84173125
11.66733467,0.84038378
11.70701403,0.83989668
11.74669339,0.84020786
11.78637275,0.84125140
11.82605210,0.84296001
11.86573146,0.84526747
11.90541082,0.84811076
11.94509018,0.85143188
11.98476954,0.85517942
12.02444890,0.85930957
12.06412826,0.86378678
12.10380762,0.86858397
12.14348697,0.87368225
12.18316633,0.87907030
12.22284569,0.88474332
12.26252505,0.89070173
12.30220441,0.89694966
12.34188377,0.90349321
12.38156313,0.91033880
12.42124248,0.91749138
12.46092184,0.92495287
12.50060120,0.93272072
12.54028056,0.94078673
12.57995992,0.94913617
12.61963928,0.95774717
12.65931864,0.96659049
12.69899800,0.97562964
12.73867735,0.98482124
12.77835671,0.99411575
12.81803607,1.00345841
12.85771543,1.01279035
12.89739479,1.02204988
12.93707415,1.03117381
12.97675351,1.04009879
13.01643287,1.04876264
13.05611222,1.05710551
13.09579158,1.06507097
13.13547094,1.07260687
13.17515030,1.07966603
13.21482966,1.08620673
13.25450902,1.09219297
13.29418838,1.09759455
13.33386774,1.10238702
13.37354709,1.10655143
13.41322645,1.11007402
13.45290581,1.11294585
13.49258517,1.11516240
13.53226453,1.11672317
13.57194389,1.11763130
13.61162325,1.11789338
13.65130261,1.11751917
13.69098196,1.11652153
13.73066132,1.11491645
13.77034068,1.11272308
13.81002004,1.10996388
13.84969940,1.10666485
13.88937876,1.10285565
13.92905812,1.09856983
13.96873747,1.09384490
14.00841683,1.08872239
14.04809619,1.08324776
14.08777555,1.07747013
14.12745491,1.07144196
14.16713427,1.06521846
14.20681363,1.05885695
14.24649299,1.05241597
14.28617234,1.04595435
14.32585170,1.03953017
14.36553106,1.03319965
14.40521042,1.02701602
14.44488978,1.02102845
14.48456914,1.01528106
14.52424850,1.00981200
14.56392786,1.00465274
14.60360721,0.99982750
14.64328657,0.99535299
14.68296593,0.99123823
14.72264529,0.98748478
14.76232465,0.98408705
14.80200401,0.98103290
14.84168337,0.97830443
14.88136273,0.97587893
14.92104208,0.97372991
14.96072144,0.97182821
15.00040080,0.97014319
15.04008016,0.96864384
15.07975952,0.96729986
15.11943888,0.96608261
15.15911824,0.96496591
15.19879760,0.96392674
15.23847695,0.96294566
15.27815631,0.96200712
15.31783567,0.96109956
15.35751503,0.96021527
15.39719439,0.95935015
15.43687375,0.95850337
15.47655311,0.95767681
15.51623246,0.95687454
15.55591182,0.95610220
15.59559118,0.95536645
15.63527054,0.95467437
15.67494990,0.95403300
15.71462926,0.95344897
15.75430862,0.95292814
15.79398798,0.95247551
15.83366733,0.95209509
15.87334669,0.95179001
15.91302605,0.95156265
15.95270541,0.95141487
15.99238477,0.95134832
16.03206413,0.95136473
16.07174349,0.95146622
16.11142285,0.95165562
16.15110220,0.95193670
16.19078156,0.95231430
16.23046092,0.95279444
16.27014028,0.95338425
16.30981964,0.95409189
16.34949900,0.95492626
16.38917836,0.95589667
16.42885772,0.95701250
16.46853707,0.95828263
16.50821643,0.95971506
16.54789579,0.96131630
16.58757515,0.96309099
16.62725451,0.96504145
16.66693387,0.96716729
16.70661323,0.96946525
16.74629259,0.97192900
16.78597194,0.97454916
16.82565130,0.97731344
16.86533066,0.98020685
16.90501002,0.98321209
16.94468938,0.98631000
16.98436874,0.98948007
17.02404810,0.99270106
17.06372745,0.99595157
17.10340681,0.99921065
17.14308617,1.00245838
17.18276553,1.00567629
17.22244489,1.00884784
17.26212425,1.01195867
17.30180361,1.01499680
17.34148297,1.01795267
17.38116232,1.02081903
17.42084168,1.02359082
17.46052104,1.02626481
17.50020040,1.02883921
17.53987976,1.03131327
17.57955912,1.03368676
17.61923848,1.03595949
17.65891784,1.03813084
17.69859719,1.04019933
17.73827655,1.04216228
17.77795591,1.04401555
17.81763527,1.04575339
17.85731463,1.04736839
17.89699399,1.04885157
17.93667335,1.05019256
17.97635271,1.05137992
18.01603206,1.05240149
18.05571142,1.05324485
18.09539078,1.05389780
18.13507014,1.05434886
18.17474950,1.05458778
18.21442886,1.05460598
18.25410822,1.05439692
18.29378758,1.05395647
18.33346693,1.05328310
18.37314629,1.05237797
18.41282565,1.05124498
18.45250501,1.04989067
18.49218437,1.04832397
18.53186373,1.04655597
18.57154309,1.04459954
18.61122244,1.04246894
18.65090180,1.04017937
18.69058116,1.03774657
18.73026052,1.03518639
18.76993988,1.03251444
18.80961924,1.02974577
18.84929860,1.02689467
18.88897796,1.02397448
18.92865731,1.02099760
18.96833667,1.01797545
19.00801603,1.01491863
19.04769539,1.01183710
19.08737475,1.00874039
19.12705411,1.00563788
19.16673347,1.00253908
19.20641283,0.99945391
19.24609218,0.99639293
19.28577154,0.99336755
19.32545090,0.99039013
19.36513026,0.98747407
19.40480962,0.98463373
19.44448898,0.98188432
19.48416834,0.97924170
19.52384770,0.97672208
19.56352705,0.97434166
19.60320641,0.97211620
19.64288577,0.97006064
19.68256513,0.96818860
19.72224449,0.96651200
19.76192385,0.96504063
19.80160321,0.96378185
19.84128257,0.96274032
19.88096192,0.96191787
19.92064128,0.96131339
19.96032064,0.96092294
20.00000000,0.96073986
