k_invA,S_k
0.20000000,0.14851372
0.23967936,0.15613352
0.27935872,0.16455363
0.31903808,0.17353005
0.35871743,0.18281068
0.39839679,0.19214534
0.43807615,0.20129573
0.47775551,0.21004479
0.51743487,0.21820525
0.55711423,0.22562689
0.59679359,0.23220224
0.63647295,0.23787059
0.67615230,0.24262001
0.71583166,0.24648734
0.75551102,0.24955625
0.79519038,0.25195332
0.83486974,0.25384242
0.87454910,0.25541758
0.91422846,0.25689463
0.95390782,0.25850209
0.99358717,0.26047152
1.03326653,0.26302796
1.07294589,0.26638068
1.11262525,0.27071481
1.15230461,0.27618406
1.19198397,0.28290501
1.23166333,0.29095309
1.27134269,0.30036050
1.31102204,0.31111617
1.35070140,0.32316770
1.39038076,0.33642526
1.43006012,0.35076720
1.46973948,0.36604722
1.50941884,0.38210262
1.54909820,0.39876332
1.58877756,0.41586130
1.62845691,0.43323975
1.66813627,0.45076179
1.70781563,0.46831803
1.74749499,0.48583280
1.78717435,0.50326850
1.82685371,0.52062798
1.86653307,0.53795467
1.90621242,0.55533036
1.94589178,0.57287076
1.98557114,0.59071885
2.02525050,0.60903640
2.06492986,0.62799386
2.10460922,0.64775915
2.14428858,0.66848573
2.18396794,0.69030068
2.22364729,0.71329309
2.26332665,0.73750363
2.30300601,0.76291548
2.34268537,0.78944755
2.38236473,0.81694995
2.42204409,0.84520241
2.46172345,0.87391566
2.50140281,0.90273583
2.54108216,0.93125204
2.58076152,0.95900673
2.62044088,0.98550864
2.66012024,1.01024787
2.69979960,1.03271254
2.73947896,1.05240641
2.77915832,1.06886682
2.81883768,1.08168216
2.85851703,1.09050819
2.89819639,1.09508255
2.93787575,1.09523670
2.97755511,1.09090494
3.01723447,1.08212991
3.05691383,1.06906428
3.09659319,1.05196862
3.13627255,1.03120526
3.17595190,1.00722849
3.21563126,0.98057125
3.25531062,0.95182899
3.29498998,0.92164110
3.33466934,0.89067075
3.37434870,0.85958391
3.41402806,0.82902837
3.45370741,0.79961359
3.49338677,0.77189220
3.53306613,0.74634399
3.57274549,0.72336290
3.61242485,0.70324774
3.65210421,0.68619683
3.69178357,0.67230696
3.73146293,0.66157658
3.77114228,0.65391315
3.81082164,0.64914432
3.85050100,0.64703235
3.89018036,0.64729136
3.92985972,0.64960631
3.96953908,0.65365317
4.00921844,0.65911916
4.04889780,0.66572221
4.08857715,0.67322876
4.12825651,0.68146892
4.16793587,0.69034846
4.20761523,0.69985686
4.24729459,0.71007094
4.28697395,0.72115409
4.32665331,0.73335060
4.36633267,0.74697571
4.40601202,0.76240131
4.44569138,0.78003811
4.48537074,0.80031480
4.52505010,0.82365521
4.56472946,0.85045418
4.60440882,0.88105347
4.64408818,0.91571842
4.68376754,0.95461665
4.72344689,0.99779959
4.76312625,1.04518786
4.80280561,1.09656100
4.84248497,1.15155235
4.88216433,1.20964925
4.92184369,1.27019880
4.96152305,1.33241910
5.00120240,1.39541559
5.04088176,1.45820210
5.08056112,1.51972592
5.12024048,1.57889594
5.15991984,1.63461290
5.19959920,1.68580084
5.23927856,1.73143841
5.27895792,1.77058904
5.31863727,1.80242890
5.35831663,1.82627159
5.39799599,1.84158871
5.43767535,1.84802568
5.47735471,1.84541203
5.51703407,1.83376619
5.55671343,1.81329424
5.59639279,1.78438313
5.63607214,1.74758830
5.67575150,1.70361649
5.71543086,1.65330419
5.75511022,1.59759277
5.79478958,1.53750094
5.83446894,1.47409579
5.87414830,1.40846327
5.91382766,1.34167925
5.95350701,1.27478196
5.99318637,1.20874696
6.03286573,1.14446508
6.07254509,1.08272427
6.11222445,1.02419560
6.15190381,0.96942382
6.19158317,0.91882253
6.23126253,0.87267394
6.27094188,0.83113286
6.31062124,0.79423474
6.35030060,0.76190699
6.38997996,0.73398316
6.42965932,0.71021909
6.46933868,0.69031048
6.50901804,0.67391096
6.54869739,0.66064999
6.58837675,0.65014993
6.62805611,0.64204164
6.66773547,0.63597804
6.70741483,0.63164541
6.74709419,0.62877193
6.78677355,0.62713351
6.82645291,0.62655678
6.86613226,0.62691935
6.90581162,0.62814768
6.94549098,0.63021269
6.98517034,0.63312362
7.02484970,0.63692052
7.06452906,0.64166589
7.10420842,0.64743586
7.14388778,0.65431144
7.18356713,0.66237024
7.22324649,0.67167901
7.26292585,0.68228730
7.30260521,0.69422250
7.34228457,0.70748635
7.38196393,0.72205307
7.42164329,0.73786887
7.46132265,0.75485307
7.50100200,0.77290036
7.54068136,0.79188413
7.58036072,0.81166063
7.62004008,0.83207361
7.65971944,0.85295918
7.69939880,0.87415068
7.73907816,0.89548319
7.77875752,0.91679761
7.81843687,0.93794395
7.85811623,0.95878394
7.89779559,0.97919265
7.93747495,0.99905935
7.97715431,1.01828743
8.01683367,1.03679363
8.05651303,1.05450666
8.09619238,1.07136529
8.13587174,1.08731627
8.17555110,1.10231205
