r_A,g_r,g_r_error,n_r
0.51375000,0.00000000,0.00034151,0.00000000
0.54125000,0.00000000,0.00030769,0.00000000
0.56875000,0.00000000,0.00027865,0.00000000
0.59625000,0.00000000,0.00025354,0.00000000
0.62375000,0.00000000,0.00023168,0.00000000
0.65125000,0.00000000,0.00021253,0.00000000
0.67875000,0.00000000,0.00019565,0.00000000
0.70625000,0.00000000,0.00018071,0.00000000
0.73375000,0.00000000,0.00016742,0.00000000
0.76125000,0.00000000,0.00015554,0.00000000
0.78875000,0.00000000,0.00014489,0.00000000
0.81625000,0.00000000,0.00013529,0.00000000
0.84375000,0.00000000,0.00012661,0.00000000
0.87125000,0.00000000,0.00011875,0.00000000
0.89875000,0.00000000,0.00011159,0.00000000
0.92625000,0.00000000,0.00010506,0.00000000
0.95375000,0.00000000,0.00009909,0.00000000
0.98125000,0.00000000,0.00009362,0.00000000
1.00875000,0.00000000,0.00008858,0.00000000
1.03625000,0.00000000,0.00008394,0.00000000
1.06375000,0.00000000,0.00007966,0.00000000
1.09125000,0.00000000,0.00007569,0.00000000
1.11875000,0.00000000,0.00007202,0.00000000
1.14625000,0.00000000,0.00006860,0.00000000
1.17375000,0.00000000,0.00006543,0.00000000
1.20125000,0.00000000,0.00006247,0.00000000
1.22875000,0.00000000,0.00005970,0.00000000
1.25625000,0.00000000,0.00005712,0.00000000
1.28375000,0.00131268,0.00026795,0.00010141
1.31125000,0.01819148,0.00097657,0.00156757
1.33875000,0.11582557,0.00241356,0.01129834
1.36625000,0.39572918,0.00437143,0.04592432
1.39375000,0.96024965,0.00667516,0.13336178
1.42125000,2.00401931,0.00945660,0.32311385
1.44875000,3.47342837,0.01221351,0.66484840
1.47625000,4.68688955,0.01392314,1.14364183
1.50375000,5.01530694,0.01413930,1.67525098
1.53125000,4.36089701,0.01294782,2.15455567
1.55875000,3.28043629,0.01103174,2.52817401
1.58625000,2.23759812,0.00895311,2.79209201
1.61375000,1.43130926,0.00703858,2.96681483
1.64125000,0.91500199,0.00553339,3.08235026
1.66875000,0.59364422,0.00438356,3.15984147
1.69625000,0.40625877,0.00356752,3.21463460
1.72375000,0.29119701,0.00297217,3.25519284
1.75125000,0.22237170,0.00255650,3.28716113
1.77875000,0.16814302,0.00218866,3.31209860
1.80625000,0.13366559,0.00192170,3.33254039
1.83375000,0.09768044,0.00161815,3.34793723
1.86125000,0.07891734,0.00143297,3.36075243
1.88875000,0.07322492,0.00136022,3.37299723
1.91625000,0.08083452,0.00140864,3.38691100
1.94375000,0.06541783,0.00124929,3.39849665
1.97125000,0.02324309,0.00073428,3.40273036
1.99875000,0.00437718,0.00031426,3.40355006
2.02625000,0.00127336,0.00016720,3.40379513
2.05375000,0.00083345,0.00013346,3.40395991
2.08125000,0.00087400,0.00013486,3.40413737
2.10875000,0.00107432,0.00014757,3.40436131
2.13625000,0.00527371,0.00032275,3.40548945
2.16375000,0.03161320,0.00078016,3.41242733
2.19125000,0.19822043,0.00192902,3.45704181
2.21875000,0.52769953,0.00310842,3.57881372
2.24625000,0.55278431,0.00314249,3.70955584
2.27375000,0.63303304,0.00332220,3.86296647
2.30125000,0.82840596,0.00375502,4.06860972
2.32875000,1.09756776,0.00427118,4.34762034
2.35625000,1.38305694,0.00473864,4.70755729
2.38375000,1.63483522,0.00509250,5.14300804
2.41125000,1.86165537,0.00537232,5.65038112
2.43875000,2.01449058,0.00552548,6.21200226
2.46625000,2.11599589,0.00559983,6.81530135
2.49375000,2.14918850,0.00558135,7.44180554
2.52125000,2.09880284,0.00545538,8.06719004
2.54875000,1.99971081,0.00526758,8.67611716
2.57625000,1.86939128,0.00503868,9.25771109
2.60375000,1.72691080,0.00479171,9.80650859
2.63125000,1.56875193,0.00451929,10.31563092
2.65875000,1.42883418,0.00426843,10.78908785
2.68625000,1.29999646,0.00402976,11.22881034
2.71375000,1.19422485,0.00382321,11.64106865
2.74125000,1.10577746,0.00364200,12.03056973
2.76875000,1.04623563,0.00350740,12.40652887
2.79625000,0.98848788,0.00337570,12.76882774
2.82375000,0.95950448,0.00329346,13.12745487
2.85125000,0.93167170,0.00321404,13.48249476
2.87875000,0.90686497,0.00314067,13.83477978
2.90625000,0.89568558,0.00309172,14.18940137
2.93375000,0.88291033,0.00304081,14.54561165
2.96125000,0.87224153,0.00299432,14.90414582
2.98875000,0.86665773,0.00295726,15.26703201
3.01625000,0.86368782,0.00292527,15.63536033
3.04375000,0.85540014,0.00288490,16.00683647
3.07125000,0.84328459,0.00283875,16.37969849
3.09875000,0.84412581,0.00281496,16.75964626
3.12625000,0.83364749,0.00277282,17.14156723
3.15375000,0.83308360,0.00274772,17.52997397
3.18125000,0.82716851,0.00271428,17.92237781
3.20875000,0.82708475,0.00269088,18.32155473
3.23625000,0.82661756,0.00266726,18.72737375
3.26375000,0.83230207,0.00265386,19.14295734
3.29125000,0.83616751,0.00263779,19.56753651
3.31875000,0.84367023,0.00262764,20.00311401
3.34625000,0.85288321,0.00262024,20.45077576
3.37375000,0.86240558,0.00261335,20.91090623
3.40125000,0.87582632,0.00261231,21.38584623
3.42875000,0.88593175,0.00260627,21.87406622
3.45625000,0.91002576,0.00262045,22.38364065
3.48375000,0.92575029,0.00262213,22.91030202
3.51125000,0.95534857,0.00264286,23.46241634
3.53875000,0.98190315,0.00265852,24.03880053
3.56625000,1.02192267,0.00269124,24.64803610
3.59375000,1.05731968,0.00271650,25.28813294
3.62125000,1.09726723,0.00274633,25.96261915
3.64875000,1.13090504,0.00276709,26.66838071
3.67625000,1.15548715,0.00277608,27.40039379
3.70375000,1.17971659,0.00278421,28.15897952
3.73125000,1.19234188,0.00277844,28.93711128
3.75875000,1.19424556,0.00276031,29.72801599
3.78625000,1.18353128,0.00272794,30.52333609
3.81375000,1.16723102,0.00268956,31.31913788
3.84125000,1.14368116,0.00264323,32.11016935
3.86875000,1.11067739,0.00258629,32.88941235
3.89625000,1.07968756,0.00253196,33.65772039
3.92375000,1.03967696,0.00246719,34.40803728
3.95125000,1.00218441,0.00240544,35.14147005
3.97875000,0.97392163,0.00235489,35.86417489
4.00625000,0.94757892,0.00230688,36.57708559
4.03375000,0.92482536,0.00226347,37.28246265
4.06125000,0.90957791,0.00222954,37.98570173
4.08875000,0.89372284,0.00219516,38.68607186
4.11625000,0.88885936,0.00217455,39.39203201
4.14375000,0.88765753,0.00215866,40.10648915
4.17125000,0.88848225,0.00214542,40.83113338
4.19875000,0.89007336,0.00213328,41.56667878
4.22625000,0.89931467,0.00213037,42.31962801
4.25375000,0.90061163,0.00211812,43.08350798
4.28125000,0.91502013,0.00212129,43.86967618
4.30875000,0.92656585,0.00212100,44.67602420
4.33625000,0.93497518,0.00211710,45.50010986
4.36375000,0.94403685,0.00211392,46.34276974
4.39125000,0.95293447,0.00211056,47.20412639
4.41875000,0.95997316,0.00210516,48.08274743
4.44625000,0.96756327,0.00210039,48.97937230
4.47375000,0.97762401,0.00209831,49.89656149
4.50125000,0.98550780,0.00209388,50.83254884
4.52875000,0.99975177,0.00209615,51.79370183
4.55625000,1.00694209,0.00209098,52.77356003
4.58375000,1.01809271,0.00208991,53.77626420
4.61125000,1.02383655,0.00208330,54.79676092
4.63875000,1.03581149,0.00208302,55.84154442
4.66625000,1.04778986,0.00208269,56.91097806
4.69375000,1.05379158,0.00207641,57.99925213
4.72125000,1.06494493,0.00207521,59.11196931
4.74875000,1.07142109,0.00206945,60.24453252
4.77625000,1.07222518,0.00205831,61.39111090
4.80375000,1.07224930,0.00204655,62.55095660
4.83125000,1.07739752,0.00203978,63.72975257
4.85875000,1.07422421,0.00202525,64.91849479
4.88625000,1.07260177,0.00201233,66.11891563
4.91375000,1.06785343,0.00199663,67.32751234
4.94125000,1.06230602,0.00198035,68.54332578
4.96875000,1.05435121,0.00196201,69.76350392
4.99625000,1.04889353,0.00194615,70.99083964
5.02375000,1.03864528,0.00192602,72.21959928
5.05125000,1.03168036,0.00190910,73.45351795
5.07875000,1.02482944,0.00189245,74.69262524
5.10625000,1.01388630,0.00187218,75.93181280
5.13375000,1.00745146,0.00185623,77.17643405
5.16125000,0.99651761,0.00183629,78.42077221
5.18875000,0.98733525,0.00181813,79.66681737
5.21625000,0.98388922,0.00180538,80.92171021
5.24375000,0.97577654,0.00178850,82.17941286
5.27125000,0.96821385,0.00177226,83.44049148
5.29875000,0.96758055,0.00176248,84.71392898
5.32625000,0.96381393,0.00174997,85.99560996
5.35375000,0.96315849,0.00174039,87.28967939
5.38125000,0.96214546,0.00173058,88.59570207
5.40875000,0.96076118,0.00172054,89.91320900
5.43625000,0.96408016,0.00171479,91.24874510
5.46375000,0.96354573,0.00170569,92.59707950
5.49125000,0.96757712,0.00170069,93.96471910
5.51875000,0.96651139,0.00169129,95.34456970
5.54625000,0.97123287,0.00168701,96.74501420
5.57375000,0.97152310,0.00167893,98.15980344
5.60125000,0.97484933,0.00167355,99.59347958
5.62875000,0.98200185,0.00167147,101.05189038
5.65625000,0.98383617,0.00166490,102.52733741
5.68375000,0.98763991,0.00166004,104.02292624
5.71125000,0.99235018,0.00165598,105.54022445
5.73875000,0.99699892,0.00165190,107.07934610
5.76625000,0.99811723,0.00164495,108.63499696
5.79375000,1.00330207,0.00164139,110.21367969
5.82125000,1.00646935,0.00163621,111.81241549
5.84875000,1.00793074,0.00162970,113.42863541
5.87625000,1.01073038,0.00162432,115.06462108
5.90375000,1.01440922,0.00161970,116.72196542
5.93125000,1.01673129,0.00161403,118.39861496
5.95875000,1.01526606,0.00160542,120.08840928
5.98625000,1.01383509,0.00159692,121.79143287
