theta_deg,adf
0.50000000,0.00000000
1.50000000,0.00000000
2.50000000,0.00000000
3.50000000,0.00000000
4.50000000,0.00000000
5.50000000,0.00000000
6.50000000,0.00000000
7.50000000,0.00000000
8.50000000,0.00000000
9.50000000,0.00000000
10.50000000,0.00000000
11.50000000,0.00000000
12.50000000,0.00000000
13.50000000,0.00000000
14.50000000,0.00000000
15.50000000,0.00000000
16.50000000,0.00000000
17.50000000,0.00000000
18.50000000,0.00000000
19.50000000,0.00000000
20.50000000,0.00000000
21.50000000,0.00000000
22.50000000,0.00000000
23.50000000,0.00000000
24.50000000,0.00000000
25.50000000,0.00000000
26.50000000,0.00000000
27.50000000,0.00000000
28.50000000,0.00000000
29.50000000,0.00000000
30.50000000,0.00000000
31.50000000,0.00000000
32.50000000,0.00000000
33.50000000,0.00000000
34.50000000,0.00000000
35.50000000,0.00000000
36.50000000,0.00000000
37.50000000,0.00000000
38.50000000,0.00000000
39.50000000,0.00000000
40.50000000,0.00000255
41.50000000,0.00001464
42.50000000,0.00004903
43.50000000,0.00005985
44.50000000,0.00008595
45.50000000,0.00015472
46.50000000,0.00020119
47.50000000,0.00021393
48.50000000,0.00022348
49.50000000,0.00022921
50.50000000,0.00024958
51.50000000,0.00022857
52.50000000,0.00019865
53.50000000,0.00019419
54.50000000,0.00016490
55.50000000,0.00014708
56.50000000,0.00016490
57.50000000,0.00013498
58.50000000,0.00011842
59.50000000,0.00009105
60.50000000,0.00011715
61.50000000,0.00010251
62.50000000,0.00008659
63.50000000,0.00007959
64.50000000,0.00006049
65.50000000,0.00008213
66.50000000,0.00009678
67.50000000,0.00012989
68.50000000,0.00014135
69.50000000,0.00011524
70.50000000,0.00008532
71.50000000,0.00006685
72.50000000,0.00008341
73.50000000,0.00010696
74.50000000,0.00015408
75.50000000,0.00024767
76.50000000,0.00035655
77.50000000,0.00048834
78.50000000,0.00069718
79.50000000,0.00086781
80.50000000,0.00101425
81.50000000,0.00107028
82.50000000,0.00100788
83.50000000,0.00107155
84.50000000,0.00108620
85.50000000,0.00113713
86.50000000,0.00114159
87.50000000,0.00137589
88.50000000,0.00144784
89.50000000,0.00163311
90.50000000,0.00187124
91.50000000,0.00219913
92.50000000,0.00253594
93.50000000,0.00306376
94.50000000,0.00381951
95.50000000,0.00476945
96.50000000,0.00605366
97.50000000,0.00756007
98.50000000,0.00927532
99.50000000,0.01147254
100.50000000,0.01401039
101.50000000,0.01699711
102.50000000,0.02019712
103.50000000,0.02391667
104.50000000,0.02717335
105.50000000,0.03043193
106.50000000,0.03333397
107.50000000,0.03577504
108.50000000,0.03790923
109.50000000,0.03976519
110.50000000,0.04079917
111.50000000,0.04099146
112.50000000,0.04093097
113.50000000,0.04063364
114.50000000,0.03970088
115.50000000,0.03857585
116.50000000,0.03785384
117.50000000,0.03635762
118.50000000,0.03420433
119.50000000,0.03202048
120.50000000,0.02933300
121.50000000,0.02667100
122.50000000,0.02374413
123.50000000,0.02127504
124.50000000,0.01862067
125.50000000,0.01622735
126.50000000,0.01407088
127.50000000,0.01223466
128.50000000,0.01060346
129.50000000,0.00927022
130.50000000,0.00791025
131.50000000,0.00698259
132.50000000,0.00610269
133.50000000,0.00525589
134.50000000,0.00458927
135.50000000,0.00413786
136.50000000,0.00377494
137.50000000,0.00334772
138.50000000,0.00307649
139.50000000,0.00275751
140.50000000,0.00253594
141.50000000,0.00228317
142.50000000,0.00212273
143.50000000,0.00211318
144.50000000,0.00188142
145.50000000,0.00185787
146.50000000,0.00167959
147.50000000,0.00163566
148.50000000,0.00146885
149.50000000,0.00143510
150.50000000,0.00140136
151.50000000,0.00128994
152.50000000,0.00122117
153.50000000,0.00111867
154.50000000,0.00110530
155.50000000,0.00104481
156.50000000,0.00096904
157.50000000,0.00091684
158.50000000,0.00084425
159.50000000,0.00080287
160.50000000,0.00073793
161.50000000,0.00073474
162.50000000,0.00066662
163.50000000,0.00059085
164.50000000,0.00054883
165.50000000,0.00050299
166.50000000,0.00046797
167.50000000,0.00043677
168.50000000,0.00038902
169.50000000,0.00034827
170.50000000,0.00029606
171.50000000,0.00026677
172.50000000,0.00021839
173.50000000,0.00021011
174.50000000,0.00019992
175.50000000,0.00013689
176.50000000,0.00010696
177.50000000,0.00008595
178.50000000,0.00004966
179.50000000,0.00001464
