theta_deg,adf
0.50000000,0.00000000
1.50000000,0.00000000
2.50000000,0.00000000
3.50000000,0.00000000
4.50000000,0.00000000
5.50000000,0.00000000
6.50000000,0.00000000
7.50000000,0.00000000
8.50000000,0.00000000
9.50000000,0.00000000
10.50000000,0.00000000
11.50000000,0.00000000
12.50000000,0.00000000
13.50000000,0.00000000
14.50000000,0.00000000
15.50000000,0.00000000
16.50000000,0.00000000
17.50000000,0.00000000
18.50000000,0.00000000
19.50000000,0.00000000
20.50000000,0.00000000
21.50000000,0.00000000
22.50000000,0.00000000
23.50000000,0.00000000
24.50000000,0.00000000
25.50000000,0.00000000
26.50000000,0.00000000
27.50000000,0.00000000
28.50000000,0.00000000
29.50000000,0.00000000
30.50000000,0.00000000
31.50000000,0.00000000
32.50000000,0.00000000
33.50000000,0.00000000
34.50000000,0.00000000
35.50000000,0.00000000
36.50000000,0.00000000
37.50000000,0.00000000
38.50000000,0.00000000
39.50000000,0.00000000
40.50000000,0.00000050
41.50000000,0.00000050
42.50000000,0.00000149
43.50000000,0.00000597
44.50000000,0.00001194
45.50000000,0.00001642
46.50000000,0.00002786
47.50000000,0.00003582
48.50000000,0.00005224
49.50000000,0.00006269
50.50000000,0.00006518
51.50000000,0.00005473
52.50000000,0.00005772
53.50000000,0.00004180
54.50000000,0.00004229
55.50000000,0.00003781
56.50000000,0.00001841
57.50000000,0.00001542
58.50000000,0.00002090
59.50000000,0.00001343
60.50000000,0.00001493
61.50000000,0.00001642
62.50000000,0.00001244
63.50000000,0.00001443
64.50000000,0.00002339
65.50000000,0.00002836
66.50000000,0.00003284
67.50000000,0.00002936
68.50000000,0.00003234
69.50000000,0.00003632
70.50000000,0.00003981
71.50000000,0.00004229
72.50000000,0.00005871
73.50000000,0.00010200
74.50000000,0.00016171
75.50000000,0.00025426
76.50000000,0.00036372
77.50000000,0.00052792
78.50000000,0.00062643
79.50000000,0.00076973
80.50000000,0.00083392
81.50000000,0.00086029
82.50000000,0.00090109
83.50000000,0.00092846
84.50000000,0.00110211
85.50000000,0.00117226
86.50000000,0.00130213
87.50000000,0.00153399
88.50000000,0.00180367
89.50000000,0.00220073
90.50000000,0.00278288
91.50000000,0.00342424
92.50000000,0.00420642
93.50000000,0.00528016
94.50000000,0.00662409
95.50000000,0.00824366
96.50000000,0.01009809
97.50000000,0.01240231
98.50000000,0.01501104
99.50000000,0.01781084
100.50000000,0.02078628
101.50000000,0.02400802
102.50000000,0.02752530
103.50000000,0.03102120
104.50000000,0.03430413
105.50000000,0.03710493
106.50000000,0.03950966
107.50000000,0.04146459
108.50000000,0.04257466
109.50000000,0.04313094
110.50000000,0.04305282
111.50000000,0.04240201
112.50000000,0.04086304
113.50000000,0.03955593
114.50000000,0.03749203
115.50000000,0.03511467
116.50000000,0.03290896
117.50000000,0.03033655
118.50000000,0.02805770
119.50000000,0.02568929
120.50000000,0.02343134
121.50000000,0.02084350
122.50000000,0.01890598
123.50000000,0.01684955
124.50000000,0.01487123
125.50000000,0.01316707
126.50000000,0.01136737
127.50000000,0.01009361
128.50000000,0.00882780
129.50000000,0.00756548
130.50000000,0.00659174
131.50000000,0.00575285
132.50000000,0.00498511
133.50000000,0.00436464
134.50000000,0.00376607
135.50000000,0.00335011
136.50000000,0.00288638
137.50000000,0.00258883
138.50000000,0.00219874
139.50000000,0.00201166
140.50000000,0.00171013
141.50000000,0.00158972
142.50000000,0.00139020
143.50000000,0.00127128
144.50000000,0.00114141
145.50000000,0.00096179
146.50000000,0.00087820
147.50000000,0.00079013
148.50000000,0.00069311
149.50000000,0.00063589
150.50000000,0.00056523
151.50000000,0.00049956
152.50000000,0.00043786
153.50000000,0.00042741
154.50000000,0.00035576
155.50000000,0.00036123
156.50000000,0.00031546
157.50000000,0.00027366
158.50000000,0.00024779
159.50000000,0.00022042
160.50000000,0.00020748
161.50000000,0.00018758
162.50000000,0.00018360
163.50000000,0.00014280
164.50000000,0.00011792
165.50000000,0.00012190
166.50000000,0.00010797
167.50000000,0.00009354
168.50000000,0.00008160
169.50000000,0.00007513
170.50000000,0.00006120
171.50000000,0.00005075
172.50000000,0.00004279
173.50000000,0.00003881
174.50000000,0.00003433
175.50000000,0.00002189
176.50000000,0.00002090
177.50000000,0.00001791
178.50000000,0.00000597
179.50000000,0.00000498
