k_invA,S_k
0.20000000,0.60416150
0.23967936,0.60219902
0.27935872,0.60006518
0.31903808,0.59784312
0.35871743,0.59562321
0.39839679,0.59350110
0.43807615,0.59157569
0.47775551,0.58994708
0.51743487,0.58871461
0.55711423,0.58797490
0.59679359,0.58782004
0.63647295,0.58833585
0.67615230,0.58960030
0.71583166,0.59168199
0.75551102,0.59463882
0.79519038,0.59851668
0.83486974,0.60334830
0.87454910,0.60915217
0.91422846,0.61593159
0.95390782,0.62367378
0.99358717,0.63234919
1.03326653,0.64191094
1.07294589,0.65229448
1.11262525,0.66341757
1.15230461,0.67518048
1.19198397,0.68746673
1.23166333,0.70014418
1.27134269,0.71306663
1.31102204,0.72607606
1.35070140,0.73900532
1.39038076,0.75168149
1.43006012,0.76392978
1.46973948,0.77557781
1.50941884,0.78646043
1.54909820,0.79642469
1.58877756,0.80533504
1.62845691,0.81307830
1.66813627,0.81956856
1.70781563,0.82475140
1.74749499,0.82860755
1.78717435,0.83115554
1.82685371,0.83245328
1.86653307,0.83259831
1.90621242,0.83172671
1.94589178,0.83001045
1.98557114,0.82765328
2.02525050,0.82488509
2.06492986,0.82195502
2.10460922,0.81912332
2.14428858,0.81665226
2.18396794,0.81479648
2.22364729,0.81379297
2.26332665,0.81385124
2.30300601,0.81514389
2.34268537,0.81779819
2.38236473,0.82188890
2.42204409,0.82743279
2.46172345,0.83438513
2.50140281,0.84263839
2.54108216,0.85202336
2.58076152,0.86231268
2.62044088,0.87322682
2.66012024,0.88444235
2.69979960,0.89560222
2.73947896,0.90632779
2.77915832,0.91623211
2.81883768,0.92493404
2.85851703,0.93207257
2.89819639,0.93732084
2.93787575,0.94039929
2.97755511,0.94108725
3.01723447,0.93923267
3.05691383,0.93475935
3.09659319,0.92767138
3.13627255,0.91805463
3.17595190,0.90607502
3.21563126,0.89197368
3.25531062,0.87605919
3.29498998,0.85869700
3.33466934,0.84029664
3.37434870,0.82129710
3.41402806,0.80215102
3.45370741,0.78330838
3.49338677,0.76520035
3.53306613,0.74822396
3.57274549,0.73272842
3.61242485,0.71900351
3.65210421,0.70727073
3.69178357,0.69767754
3.73146293,0.69029498
3.77114228,0.68511887
3.81082164,0.68207444
3.85050100,0.68102436
3.89018036,0.68177972
3.92985972,0.68411345
3.96953908,0.68777575
4.00921844,0.69251057
4.04889780,0.69807262
4.08857715,0.70424387
4.12825651,0.71084893
4.16793587,0.71776843
4.20761523,0.72494969
4.24729459,0.73241419
4.28697395,0.74026128
4.32665331,0.74866789
4.36633267,0.75788415
4.40601202,0.76822486
