r_A,g_r,g_r_error,n_r
0.51375000,0.00000000,0.00043156,0.00000000
0.54125000,0.00000000,0.00038882,0.00000000
0.56875000,0.00000000,0.00035213,0.00000000
0.59625000,0.00000000,0.00032039,0.00000000
0.62375000,0.00000000,0.00029276,0.00000000
0.65125000,0.00000000,0.00026856,0.00000000
0.67875000,0.00000000,0.00024724,0.00000000
0.70625000,0.00000000,0.00022836,0.00000000
0.73375000,0.00000000,0.00021156,0.00000000
0.76125000,0.00000000,0.00019656,0.00000000
0.78875000,0.00000000,0.00018309,0.00000000
0.81625000,0.00000000,0.00017096,0.00000000
0.84375000,0.00000000,0.00016000,0.00000000
0.87125000,0.00000000,0.00015006,0.00000000
0.89875000,0.00000000,0.00014101,0.00000000
0.92625000,0.00000000,0.00013276,0.00000000
0.95375000,0.00000000,0.00012522,0.00000000
0.98125000,0.00000000,0.00011830,0.00000000
1.00875000,0.00000000,0.00011194,0.00000000
1.03625000,0.00000000,0.00010607,0.00000000
1.06375000,0.00000000,0.00010066,0.00000000
1.09125000,0.00000000,0.00009565,0.00000000
1.11875000,0.00000000,0.00009101,0.00000000
1.14625000,0.00000000,0.00008669,0.00000000
1.17375000,0.00008268,0.00008268,0.00000423
1.20125000,0.00007894,0.00007894,0.00000845
1.22875000,0.00037721,0.00016869,0.00002958
1.25625000,0.00122698,0.00029759,0.00010141
1.28375000,0.02025101,0.00118308,0.00133941
1.31125000,0.16210743,0.00327707,0.01167861
1.33875000,0.69368885,0.00663977,0.05779729
1.36625000,1.96249762,0.01094320,0.19368578
1.39375000,3.24273173,0.01378925,0.42735093
1.42125000,4.07431753,0.01515748,0.73263842
1.44875000,5.09912964,0.01663507,1.12964356
1.47625000,5.73902720,0.01731925,1.59359367
1.50375000,5.32874661,0.01638351,2.04057514
1.53125000,4.03374955,0.01399840,2.39141935
1.55875000,2.64393463,0.01113317,2.62971539
1.58625000,1.53052999,0.00832375,2.77257132
1.61375000,0.87503958,0.00618654,2.85710181
1.64125000,0.49021467,0.00455290,2.90608521
1.66875000,0.29532117,0.00347557,2.93659157
1.69625000,0.19837394,0.00280235,2.95776433
1.72375000,0.13677799,0.00228983,2.97284005
1.75125000,0.10911776,0.00201312,2.98525385
1.77875000,0.08438548,0.00174297,2.99515786
1.80625000,0.07101256,0.00157456,3.00375203
1.83375000,0.05778814,0.00139910,3.01096032
1.86125000,0.06428021,0.00145380,3.01922069
1.88875000,0.08582627,0.00165541,3.03057818
1.91625000,0.10546650,0.00180874,3.04494406
1.94375000,0.07117953,0.00146490,3.05491989
1.97125000,0.01849634,0.00073633,3.05758603
1.99875000,0.00333587,0.00030840,3.05808038
2.02625000,0.00149812,0.00020387,3.05830855
2.05375000,0.00091817,0.00015747,3.05845220
2.08125000,0.00107814,0.00016838,3.05862544
2.10875000,0.00230533,0.00024300,3.05900571
2.13625000,0.00841135,0.00045820,3.06042962
2.16375000,0.03379310,0.00090673,3.06629851
2.19125000,0.18092969,0.00207173,3.09852454
2.21875000,0.47691759,0.00332187,3.18561554
2.24625000,0.50998713,0.00339306,3.28106831
2.27375000,0.61286499,0.00367460,3.39860229
2.30125000,0.83922294,0.00424859,3.56346336
2.32875000,1.16679325,0.00495044,3.79818483
2.35625000,1.52458034,0.00559273,4.11216789
2.38375000,1.84639797,0.00608376,4.50135631
2.41125000,2.09268552,0.00640294,4.95269402
2.43875000,2.25339805,0.00656934,5.44984198
2.46625000,2.29846403,0.00656072,5.96843311
2.49375000,2.25968136,0.00643340,6.48970727
2.52125000,2.14777924,0.00620367,6.99615502
2.54875000,1.97503253,0.00588477,7.47208373
2.57625000,1.79147334,0.00554482,7.91314562
2.60375000,1.59159842,0.00517115,8.31340843
2.63125000,1.41685296,0.00482803,8.67729178
2.65875000,1.25527570,0.00449741,9.00645197
2.68625000,1.12868135,0.00422094,9.30857051
2.71375000,1.02854173,0.00398851,9.58955009
2.74125000,0.94769496,0.00379014,9.85371738
2.76875000,0.89683901,0.00365043,10.10874966
2.79625000,0.84814012,0.00351502,10.35474834
2.82375000,0.82841519,0.00344007,10.59977522
2.85125000,0.81258236,0.00337418,10.84482322
2.87875000,0.79629328,0.00330828,11.08961347
2.90625000,0.79523918,0.00327481,11.33877265
2.93375000,0.79927223,0.00325233,11.59395704
2.96125000,0.79899228,0.00322156,11.85385681
2.98875000,0.79161219,0.00317714,12.11616076
3.01625000,0.79321885,0.00315137,12.38385614
3.04375000,0.79259752,0.00312167,12.65624155
3.07125000,0.79156927,0.00309171,12.93321136
3.09875000,0.79373835,0.00306847,13.21593598
3.12625000,0.79588377,0.00304559,13.50447877
3.15375000,0.80168188,0.00303001,13.80025943
3.18125000,0.79926044,0.00299928,14.10031182
3.20875000,0.80569845,0.00298552,14.40803306
3.23625000,0.81525071,0.00297765,14.72476254
3.26375000,0.81548197,0.00295298,15.04698908
3.29125000,0.83377251,0.00296096,15.38201815
3.31875000,0.84194675,0.00295079,15.72600899
3.34625000,0.84735025,0.00293591,16.07796867
3.37375000,0.85915125,0.00293219,16.44071965
3.40125000,0.87305086,0.00293191,16.81537317
3.42875000,0.88872110,0.00293438,17.20294331
3.45625000,0.91486396,0.00295354,17.60833981
3.48375000,0.94124701,0.00297218,18.03209083
3.51125000,0.97251500,0.00299748,18.47685827
3.53875000,1.01812758,0.00304313,18.94980817
3.56625000,1.06476654,0.00308806,19.45214052
3.59375000,1.11420337,0.00313476,19.98593412
3.62125000,1.16475749,0.00318075,20.55251994
3.64875000,1.20759221,0.00321430,21.14889805
3.67625000,1.24294302,0.00323661,21.77202204
3.70375000,1.26871161,0.00324571,22.41761594
3.73125000,1.26399593,0.00321580,23.07039701
3.75875000,1.25964472,0.00318677,23.73055537
3.78625000,1.23335652,0.00313044,24.38642932
3.81375000,1.20032355,0.00306596,25.03404289
3.84125000,1.15910566,0.00299129,25.66846944
3.86875000,1.10466504,0.00289944,26.28178661
3.89625000,1.05851343,0.00281820,26.87786472
3.92375000,1.01137486,0.00273542,27.45546579
3.95125000,0.97538561,0.00266762,28.02034884
3.97875000,0.93321835,0.00259128,28.56836043
4.00625000,0.90831502,0.00253893,29.10914684
4.03375000,0.89019008,0.00249633,29.64644318
4.06125000,0.87372108,0.00245639,30.18101423
4.08875000,0.87181889,0.00243721,30.72166965
4.11625000,0.86795998,0.00241556,31.26719680
4.14375000,0.88122130,0.00241779,31.82848415
4.17125000,0.88897201,0.00241239,32.40224868
4.19875000,0.89362772,0.00240286,32.98664819
4.22625000,0.90536374,0.00240285,33.58650368
4.25375000,0.91516770,0.00240021,34.20077153
4.28125000,0.92611867,0.00239901,34.83045312
4.30875000,0.94266766,0.00240491,35.47964694
4.33625000,0.95232670,0.00240187,36.14389112
4.36375000,0.95176255,0.00238602,36.81618865
4.39125000,0.96204203,0.00238385,37.50433934
4.41875000,0.97050511,0.00237941,38.20726575
4.44625000,0.97753350,0.00237324,38.92412284
4.47375000,0.98835126,0.00237167,39.65790630
4.50125000,0.99477920,0.00236483,40.40556973
4.52875000,1.01382988,0.00237287,41.17689038
4.55625000,1.01937308,0.00236499,41.96187551
4.58375000,1.03062524,0.00236374,42.76513487
4.61125000,1.03949635,0.00235973,43.58505865
4.63875000,1.05120840,0.00235892,44.42413974
4.66625000,1.05957024,0.00235433,45.27995285
4.69375000,1.07480445,0.00235730,46.15833305
4.72125000,1.07799258,0.00234704,47.04967212
4.74875000,1.08469194,0.00234069,47.95702914
4.77625000,1.08773576,0.00233048,48.87750135
4.80375000,1.08897060,0.00231845,49.80966063
4.83125000,1.08633955,0.00230247,50.75024506
4.85875000,1.09058812,0.00229391,51.70528833
4.88625000,1.08490674,0.00227505,52.66614133
4.91375000,1.07412289,0.00225104,53.62818162
4.94125000,1.06665089,0.00223072,54.59425281
4.96875000,1.05924574,0.00221066,55.56432531
4.99625000,1.04510317,0.00218376,56.53206970
5.02375000,1.03292545,0.00215912,57.49909580
5.05125000,1.02405733,0.00213813,58.46834438
5.07875000,1.01234383,0.00211435,59.43696762
5.10625000,1.00335196,0.00209360,60.40741195
5.13375000,0.99329267,0.00207192,61.37850274
5.16125000,0.98127364,0.00204838,62.34814849
5.18875000,0.97044293,0.00202625,63.31733792
5.21625000,0.96892819,0.00201399,64.29529898
5.24375000,0.96132724,0.00199555,65.27584590
5.27125000,0.95699232,0.00198066,66.26223634
5.29875000,0.95574616,0.00196910,67.25764771
5.32625000,0.95510502,0.00195828,68.26274337
5.35375000,0.95149380,0.00194453,69.27440508
5.38125000,0.95503373,0.00193819,70.30028901
5.40875000,0.95274082,0.00192602,71.33419669
5.43625000,0.95788017,0.00192144,72.38427866
5.46375000,0.96340223,0.00191727,73.45112645
5.49125000,0.96210249,0.00190638,74.52728671
5.51875000,0.96814460,0.00190283,75.62107896
5.54625000,0.97268311,0.00189783,76.73097789
5.57375000,0.97824740,0.00189386,77.85832291
5.60125000,0.98052265,0.00188675,78.99946762
5.62875000,0.98693473,0.00188366,80.15938092
5.65625000,0.98896070,0.00187642,81.33306010
5.68375000,0.99579177,0.00187378,82.52636560
5.71125000,0.99754642,0.00186640,83.73336939
5.73875000,0.99770690,0.00185761,84.95222080
5.76625000,1.00597561,0.00185639,86.19298016
5.79375000,1.00753103,0.00184901,87.44753921
5.82125000,1.01243067,0.00184475,88.72019504
5.84875000,1.01873884,0.00184178,90.01290816
5.87625000,1.01232351,0.00182738,91.30958880
5.90375000,1.01911737,0.00182496,92.62721826
5.93125000,1.02271144,0.00181970,93.96184170
5.95875000,1.01918009,0.00180817,95.30421850
5.98625000,1.02114379,0.00180160,96.66162453
